threshold,p,p',n/p ratio,ratio',upper limit for train/val accuracy,accuracy'
0,63512,0,122.210936515934,122.210936515934,0.0,0.0
1,17507,46005,443.3575712572114,321.1466347412774,0.005927186791930441,0.005927186791930441
2,10521,6986,737.7493584260052,294.39178716879377,0.00772727056050089,0.0018000837685704495
3,7823,2698,992.1847117474115,254.4353533214063,0.008770061715869429,0.0010427911553685387
4,6343,1480,1223.6892637553208,231.5045520079093,0.009532765402523957,0.0007627036866545284
5,5360,983,1448.108395522388,224.41913176706726,0.010165989831562302,0.0006332244290383447
6,4661,699,1665.2780519201888,217.16965639780074,0.010706324166330728,0.0005403343347684265
7,4174,487,1859.5737901293724,194.29573820918358,0.011145522961568108,0.00043919879523737944
8,3800,374,2042.595,183.02120987062767,0.011530997527525937,0.00038547456595782945
9,3490,310,2224.02893982808,181.43393982808016,0.011890447406878325,0.0003594498793523873
10,3237,253,2397.856348470806,173.8274086427259,0.012216400164857371,0.00032595275797904673
11,3043,194,2550.7265856063095,152.87023713550343,0.012491334230283176,0.00027493406542580465
12,2863,180,2711.093608103388,160.36702249707832,0.012769618007846314,0.00027828377756313784
13,2690,173,2885.4501858736057,174.35657777021788,0.013059368107725712,0.00028975009987939823
14,2544,146,3051.0459905660377,165.595804692432,0.013322707015753051,0.0002633389080273392
15,2432,112,3191.5546875,140.50869693396226,0.013539149953857715,0.0002164429381046641
16,2333,99,3326.987141020146,135.43245352014583,0.013743224724070684,0.00020407477021296833
17,2236,97,3471.3152951699462,144.3281541498004,0.013955673774626988,0.0002124490505563039
18,2139,97,3628.733520336606,157.4182251666598,0.01418061982815719,0.000224946053530203
19,2069,70,3751.5036249395844,122.77010460297834,0.014351970487490049,0.00017135065933285808
20,2006,63,3869.3225324027917,117.81890746320732,0.014514302691068546,0.00016233220357849722
21,1947,59,3986.5747303543912,117.25219795159956,0.014673929357920735,0.0001596266668521893
22,1885,62,4117.698143236074,131.12341288168318,0.01484966041004857,0.00017573105212783519
23,1826,59,4250.745345016429,133.04720178035495,0.015024489616600967,0.00017482920655239632
24,1765,61,4397.654957507082,146.90961249065276,0.015213104176949316,0.00018861456034834946
25,1723,42,4504.852582704585,107.19762519750293,0.01534838101326473,0.00013527683631541464
26,1654,69,4692.781741233373,187.92915852878832,0.015579511150740782,0.0002311301374760509
27,1609,45,4824.02796768179,131.24622644841656,0.015736045775620048,0.00015653462487926623
28,1563,46,4966.001919385796,141.97395170400614,0.01590198536150029,0.00016593958588024052
29,1512,51,5133.505952380952,167.5040329951562,0.016092532448081717,0.00019054708658142877
30,1481,31,5240.959486833221,107.45353445226829,0.016212349074532513,0.00011981662645079577
31,1438,43,5397.67802503477,156.71853820154956,0.016384086239111986,0.00017173716457947324
32,1404,34,5528.391025641025,130.71300060625526,0.016524258808551198,0.00014017256943921197
33,1366,38,5682.182284040996,153.7912583999705,0.016685818001636463,0.00016155919308526515
34,1332,34,5827.222972972973,145.04068893197746,0.016834751356665626,0.00014893335502916272
35,1308,24,5934.144495412844,106.92152243987039,0.016942972825717956,0.00010822146905233032
36,1277,31,6078.199686765857,144.05519135301347,0.01708675277745891,0.00014377995174095354
37,1264,13,6140.712816455696,62.513129689838934,0.017148722451999592,6.196967454068225e-05
38,1251,13,6204.525179856115,63.81236340041869,0.01721236698260894,6.364453060934624e-05
39,1236,15,6279.82281553398,75.2976356778654,0.017287735505698957,7.536852309001849e-05
40,1213,23,6398.896125309151,119.07330977517086,0.0174062637813277,0.00011852827562874174
41,1195,18,6495.2811715481175,96.38504623896642,0.017501344071995106,9.508029066740767e-05
42,1173,22,6617.102301790282,121.82113024216414,0.017620387687952672,0.00011904361595756544
43,1157,16,6708.609334485739,91.50703269545738,0.017709026224509816,8.863853655714446e-05
44,1140,17,6808.65,100.04066551426058,0.017805394865999274,9.636864148945823e-05
45,1127,13,6887.188110026619,78.5381100266195,0.017880763389089293,7.536852309001849e-05
46,1115,12,6961.310313901346,74.12220387472644,0.01795188035446654,7.111696537724643e-05
47,1100,15,7056.237272727272,94.9269588259267,0.018042709087421175,9.082873295463562e-05
48,1092,8,7107.931318681319,51.69404595404649,0.018092181758987955,4.9472671566779675e-05
49,1076,16,7213.625464684015,105.69414600269647,0.0181931884634368,0.00010100670444884371
