threshold,p,p',n/p ratio,upper limit for train/val accuracy,accuracy'
0,762652,0,8.122108117463798,0.0,0.0
1,160742,601910,38.535927137898,0.09717109581614965,0.09717109581614965
2,91440,69302,67.74214785651793,0.11954699950374068,0.02237590368759103
3,63760,27680,97.1509096612296,0.13295278174824704,0.013405782244506365
4,48269,15491,128.32961113758313,0.14295610413503163,0.010003322386784586
5,38496,9773,160.90871778886117,0.15084475477782788,0.007888650642796258
6,31609,6887,195.96766743648962,0.15751568124588536,0.006670926468057475
7,26752,4857,231.546875,0.1630043998216437,0.0054887185757583334
8,23047,3705,268.7699917559769,0.16778941169215392,0.004785011870510225
9,20213,2834,306.45337159253944,0.17190704032809295,0.004117628635939036
10,18020,2193,343.74816870144286,0.17544736793673968,0.003540327608646726
11,16233,1787,381.58947822337217,0.1786207477727255,0.0031733798359858123
12,14760,1473,419.67086720867206,0.18147431962910668,0.0028535718563811874
13,13469,1291,459.89620610290297,0.18418372766631225,0.0027094080372055684
14,12380,1089,500.3507269789984,0.1866450060393824,0.0024612783730701415
15,11442,938,541.3688166404474,0.18891643373904768,0.0022714276996652905
16,10619,823,583.3263019116678,0.19104224468071024,0.0021258109416625592
17,9903,716,625.501565182268,0.1930072637255095,0.00196501904479926
18,9306,597,665.628841607565,0.19474207268504065,0.0017348089595311533
19,8736,570,709.0592948717949,0.19649044240695784,0.0017483697219171923
20,8257,479,750.1928061039118,0.19803701506955865,0.0015465726626008036
21,7828,429,791.3058252427185,0.1994914068354637,0.001454391765905061
22,7398,430,837.2995404163287,0.20101860698037016,0.0015272001449064543
23,6992,406,885.9184782608696,0.2025261117322873,0.0015075047519171325
24,6642,350,932.6019271303824,0.20388218797089344,0.0013560762386061465
25,6331,311,978.4144684883904,0.20513736567984137,0.0012551777089479244
26,6062,269,1021.8314087759816,0.20626646058612844,0.0011290949062870703
27,5816,246,1065.0519257221458,0.20733872944051202,0.001072268854383579
28,5578,238,1110.4951595553962,0.20841454992313954,0.0010758204826275264
29,5346,232,1158.687242798354,0.20950070241520408,0.001086152492064535
30,5131,215,1207.2387448840382,0.21054197524127663,0.0010412728260725534
31,4934,197,1255.4402107823266,0.21152787495427278,0.0009858997129961466
32,4758,176,1301.8793610760824,0.21243709178472872,0.0009092168304559445
33,4597,161,1347.474874918425,0.2132948100056471,0.0008577182209183742
34,4439,158,1395.436359540437,0.2141620530477652,0.0008672430421181043
35,4306,133,1438.5373896888063,0.21491354529665943,0.000751492248894231
36,4165,141,1487.236974789916,0.21573300279513144,0.0008194574984720093
37,4014,151,1543.1843547583458,0.21663495493145196,0.0009019521363205218
38,3897,117,1589.5155247626378,0.2173527067120285,0.0007177517805765365
39,3801,96,1629.6611418047883,0.21795712926409294,0.0006044225520644431
40,3670,131,1687.8316076294277,0.21880306253674725,0.000845933272654309
41,3588,82,1726.4052396878483,0.21934581590748461,0.0005427533707373644
42,3483,105,1778.4501866207293,0.2200577559327528,0.0007119400252681984
43,3394,89,1825.0860341779612,0.22067557780955588,0.0006178218768030652
44,3308,86,1872.5338573155987,0.22128645786751847,0.0006108800579625873
45,3234,74,1915.3809523809523,0.22182404523353733,0.0005375873660188601
46,3162,72,1958.9949399114485,0.22235872672190202,0.0005346814883646911
47,3090,72,2004.64142394822,0.22290503172088336,0.0005463049989813396
48,3030,60,2044.337293729373,0.2233699721455483,0.0004649404246649391
49,2966,64,2088.449763991908,0.22387624060796127,0.0005062684624129732
