threshold,p,p',n/p ratio,upper limit for train/val accuracy,accuracy'
0,32600,0,190.01049079754603,0.0,0.0
1,9271,23329,668.1417322834645,0.0037663403150810853,0.0037663403150810853
2,5523,3748,1121.5538656527249,0.004976476920389607,0.0012101366053085217
3,4095,1428,1512.659829059829,0.005668075802078736,0.0006915988816891287
4,3249,846,1906.5380116959063,0.006214380801060064,0.0005463049989813283
5,2701,548,2293.3513513513512,0.006656719955081589,0.00044233915402152463
6,2317,384,2673.4320241691844,0.007028672294813557,0.0003719523397319683
7,2065,252,2999.6813559322036,0.007313448304920846,0.00028477601010728874
8,1840,225,3366.490217391304,0.007604036070336446,0.00029058776541559996
9,1684,156,3678.3503562945366,0.007830694527360614,0.00022665845702416875
10,1569,115,3947.955385595921,0.008016347821931691,0.00018565329457107677
11,1479,90,4188.196078431372,0.008176171092910273,0.0001598232709785815
12,1395,84,4440.38853046595,0.008338900241543008,0.00016272914863273494
13,1323,72,4682.042328042328,0.00849000587955912,0.0001511056380161125
14,1270,53,4877.434645669291,0.008609792613969328,0.00011978673441020819
15,1221,49,5073.171171171171,0.008728449284847365,0.00011865667087803712
16,1174,47,5276.270868824531,0.008849850395732104,0.00012140111088473904
17,1146,28,5405.184991273996,0.008926694715919786,7.684432018768145e-05
18,1113,33,5565.446540880504,0.009022588678506934,9.589396258714855e-05
19,1082,31,5724.900184842883,0.009117675452856817,9.508677434988226e-05
20,1062,20,5832.713747645951,0.009182250511838061,6.457505898124424e-05
21,1046,16,5921.933078393881,0.009236493561382307,5.4243049544246136e-05
22,1027,19,6031.491723466407,0.009303974498017707,6.748093663539942e-05
23,1007,20,6151.2830188679245,0.009378235815846138,7.426131782843105e-05
24,993,14,6238.008056394763,0.009432478865390384,5.4243049544246136e-05
25,975,18,6353.171282051282,0.009505125806744284,7.264694135390021e-05
26,959,16,6459.167883211679,0.009572283868084779,6.715806134049464e-05
27,939,20,6596.743343982961,0.009659460197709458,8.717632962467955e-05
28,922,17,6718.3752711496745,0.00973630451789714,7.684432018768145e-05
29,912,10,6792.041666666667,0.009783121435658541,4.681691776140147e-05
30,897,15,6905.620958751393,0.009855768377012441,7.264694135390021e-05
31,885,12,6999.256497175141,0.009915823181865,6.005480485255822e-05
32,871,14,7111.7588978185995,0.009988147247923993,7.232406605899369e-05
33,861,10,7194.357723577235,0.01004142167158352,5.327442365952659e-05
34,844,17,7339.267772511848,0.010134732631811418,9.331096022789816e-05
35,835,9,7418.37365269461,0.010185585490759147,5.085285894772945e-05
36,820,15,7554.075609756098,0.010272761820383827,8.717632962467955e-05
37,813,7,7619.116851168512,0.010314574171074184,4.181235069035741e-05
38,802,11,7723.618453865337,0.010382055107709584,6.748093663539942e-05
39,786,16,7880.84223918575,0.010482792199720325,0.00010073709201074109
40,772,14,8023.759067357513,0.010573197282294068,9.040508257374298e-05
41,766,6,8086.608355091384,0.010612910943567533,3.9713661273465053e-05
42,753,13,8226.217795484728,0.010701055899076932,8.81449555093991e-05
43,742,11,8348.169811320755,0.010777415906322254,7.636000724532167e-05
44,728,14,8508.711538461539,0.01087686149715337,9.944559083111676e-05
45,717,11,8639.249651324964,0.01095677313264266,7.991163548928988e-05
46,705,12,8786.300709219859,0.011045886714036777,8.911358139411692e-05
47,692,13,8951.3612716763,0.011144525116630628,9.863840259385047e-05
48,688,4,9003.404069767443,0.011175521144941625,3.099602831099779e-05
49,679,9,9122.742268041236,0.011246715147468448,7.119400252682262e-05
