threshold,p,p',n/p ratio,ratio',upper limit for train/val accuracy,accuracy'
0,360547,0,4.347610713721096,4.347610713721096,0.0,0.0
1,114246,246301,13.720550391260963,9.372939677539867,0.1571286581717084,0.1571286581717084
2,56586,57660,27.7015162761107,13.980965884849736,0.23069719135601632,0.07356853318430792
3,33941,22645,46.18361273975428,18.482096463643582,0.27403640659947764,0.04333921524346132
4,21362,12579,73.37880348281996,27.19519074306568,0.3061355595278651,0.03209915292838744
5,13747,7615,114.02618753182513,40.64738404900517,0.3304255517321013,0.02428999220423622
6,8976,4771,174.63435828877004,60.608170756944915,0.3486875429819626,0.018261991249861276
7,6031,2945,259.9101309898856,85.27577270111556,0.36183890711302835,0.013151364131065768
8,4135,1896,379.08536880290205,119.17523781301645,0.3715153510198926,0.00967644390686423
9,3002,1133,522.1578947368421,143.07252593394003,0.37802053947705866,0.006505188457166078
10,2296,706,682.7168989547039,160.5590042178618,0.38252447499805425,0.0045039355209955945
11,1862,434,841.8464017185821,159.12950276387824,0.3855700540599853,0.0030455790619310363
12,1607,255,975.4312383322962,133.58483661371406,0.3875221847532213,0.0019521306932360205
13,1438,169,1090.0681502086231,114.63691187632696,0.3889237635548683,0.0014015788016469855
14,1290,148,1215.1302325581396,125.06208234951646,0.3902455984556477,0.0013218349007794172
15,1170,120,1339.7589743589745,124.62874180083486,0.3913939106281395,0.0011483121724917833
16,1078,92,1454.0983302411873,114.33935588221289,0.39233297480475504,0.000939064176615545
17,989,89,1584.9524772497473,130.85414700855995,0.3932981949808551,0.0009652201761000678
18,913,76,1716.8871851040526,131.93470785430532,0.39417091223194883,0.0008727172510937242
19,847,66,1850.6706021251475,133.78341702109492,0.39497090304545146,0.0007999908135026268
20,785,62,1996.8382165605096,146.1676144353621,0.3957619625420569,0.0007910594966054618
21,724,61,2165.0801104972375,168.24189393672782,0.3965791780381469,0.0008172154960899847
22,669,55,2343.0762331838564,177.99612268661895,0.3973510989985442,0.0007719209603972987
23,621,48,2524.183574879227,181.10734169537045,0.39805539713100585,0.0007042981324616449
24,577,44,2716.6689774696706,192.48540259044375,0.39872907360553433,0.000673676474528484
25,539,38,2908.1966604823747,191.52768301270407,0.3993351272521273,0.0006060536465929411
26,500,39,3135.036,226.83933951762538,0.3999820097759643,0.0006468825238370446
27,466,34,3363.772532188841,228.736532188841,0.4005676489839351,0.0005856392079707784
28,431,35,3636.9327146171695,273.1601824283284,0.4011928411667362,0.0006251921828011042
29,402,29,3899.2985074626868,262.36579284551726,0.40172935813177263,0.0005365169650364265
30,370,32,4236.5351351351355,337.2366276724488,0.40234179129043496,0.0006124331586623288
31,343,27,4570.023323615161,333.4881884800252,0.4028757564506436,0.0005339651602086493
32,324,19,4838.018518518518,267.9951949033575,0.4032636307844631,0.00038787433381948233
33,308,16,5089.3441558441555,251.32563732563722,0.40360046902172736,0.00033683823726426976
34,287,21,5461.735191637631,372.39103579347557,0.40405596618348244,0.0004554971617550807
35,269,18,5827.204460966543,365.46926932891165,0.40445787544385453,0.00040190926037209085
36,243,26,6450.691358024691,623.4868970581483,0.4050549977735503,0.0005971223296957762
37,234,9,6698.794871794872,248.10351377018105,0.4052674355254613,0.00021243775191098768
38,227,7,6905.36563876652,206.57076697164757,0.40543713054650726,0.000169695021045968
39,223,4,7029.22869955157,123.86306078505004,0.4055366509347899,9.952038828264786e-05
40,212,11,7393.952830188679,364.72413063710974,0.40581734946584347,0.00028069853105355813
41,204,8,7683.911764705882,289.9589345172026,0.40602659746171976,0.00020924799587629384
42,199,5,7876.974874371859,193.0631096659772,0.4061605672151771,0.00013396975345736362
43,188,11,8337.86170212766,460.8868277558013,0.4064623181360597,0.00030175092088258193
44,185,3,8473.070270270271,135.2085681426106,0.40654652769537575,8.420955931603968e-05
45,180,5,8708.433333333332,235.36306306306142,0.40669006671693725,0.00014353902156150067
46,175,5,8957.245714285715,248.81238095238223,0.4068367954945334,0.000146728777596139
47,173,2,9060.797687861272,103.55197357555699,0.40689676290798577,5.996741345237755e-05
48,164,9,9558.036585365853,497.2388975045815,0.40717235782938377,0.00027559492139800357
49,162,2,9676.037037037036,118.00045167118333,0.40723487704766387,6.251921828009932e-05
