threshold,p,p',n/p ratio,upper limit for train/val accuracy,accuracy'
0,360547,0,4.347610713721096,0.0,0.0
1,114246,246301,13.720550391260963,0.1571286581717084,0.1571286581717084
2,56586,57660,27.7015162761107,0.23069719135601632,0.07356853318430792
3,33941,22645,46.18361273975428,0.27403640659947764,0.04333921524346132
4,21362,12579,73.37880348281996,0.3061355595278651,0.03209915292838744
5,13747,7615,114.02618753182513,0.3304255517321013,0.02428999220423622
6,8976,4771,174.63435828877004,0.3486875429819626,0.018261991249861276
7,6031,2945,259.9101309898856,0.36183890711302835,0.013151364131065768
8,4135,1896,379.08536880290205,0.3715153510198926,0.00967644390686423
9,3002,1133,522.1578947368421,0.37802053947705866,0.006505188457166078
10,2296,706,682.7168989547039,0.38252447499805425,0.0045039355209955945
11,1862,434,841.8464017185821,0.3855700540599853,0.0030455790619310363
12,1607,255,975.4312383322962,0.3875221847532213,0.0019521306932360205
13,1438,169,1090.0681502086231,0.3889237635548683,0.0014015788016469855
14,1290,148,1215.1302325581396,0.3902455984556477,0.0013218349007794172
15,1170,120,1339.7589743589745,0.3913939106281395,0.0011483121724917833
16,1078,92,1454.0983302411873,0.39233297480475504,0.000939064176615545
17,989,89,1584.9524772497473,0.3932981949808551,0.0009652201761000678
18,913,76,1716.8871851040526,0.39417091223194883,0.0008727172510937242
19,847,66,1850.6706021251475,0.39497090304545146,0.0007999908135026268
20,785,62,1996.8382165605096,0.3957619625420569,0.0007910594966054618
21,724,61,2165.0801104972375,0.3965791780381469,0.0008172154960899847
22,669,55,2343.0762331838564,0.3973510989985442,0.0007719209603972987
23,621,48,2524.183574879227,0.39805539713100585,0.0007042981324616449
24,577,44,2716.6689774696706,0.39872907360553433,0.000673676474528484
25,539,38,2908.1966604823747,0.3993351272521273,0.0006060536465929411
26,500,39,3135.036,0.3999820097759643,0.0006468825238370446
27,466,34,3363.772532188841,0.4005676489839351,0.0005856392079707784
28,431,35,3636.9327146171695,0.4011928411667362,0.0006251921828011042
29,402,29,3899.2985074626868,0.40172935813177263,0.0005365169650364265
