threshold,p,p',n/p ratio,upper limit for train/val accuracy,accuracy'
0,26252,0,59.710422063080905,0.0,0.0
1,6352,19900,246.77550377833754,0.012695866969310719,0.012695866969310719
2,3807,2545,411.7462568951931,0.01594303861263475,0.003247171643324033
3,2825,982,554.8736283185841,0.01782244286827966,0.0018794042556449092
4,2245,580,698.226280623608,0.019302489668380204,0.0014800468001005436
5,1913,332,819.4030318870883,0.020361488671900418,0.0010589990035202133
6,1648,265,951.1638349514564,0.02137583109093484,0.0010143424190344232
7,1469,179,1067.064669843431,0.02217518395323052,0.000799352862295679
8,1314,155,1192.9360730593608,0.02296624344983598,0.0007910594966054618
9,1186,128,1321.6846543001686,0.023701163240230735,0.0007349197903947537
10,1070,116,1464.970093457944,0.024441186640281005,0.0007400234000502701
11,967,103,1621.0113753877972,0.025163985357743897,0.0007227987174628914
12,908,59,1726.34140969163,0.02561565481225734,0.00045166945451344254
13,833,75,1881.7743097238895,0.02623765723902373,0.0006220024267663896
14,783,50,2001.9386973180076,0.02668422308388165,0.00044656584485792267
15,727,56,2156.145804676754,0.027220102097711158,0.0005358790138295065
16,690,37,2271.7652173913043,0.027597769212219573,0.00037766711450841484
17,654,36,2396.816513761468,0.027988195350866784,0.00039042613864721104
18,609,45,2573.92118226601,0.028504935828488093,0.0005167404776213087
19,575,34,2726.1182608695653,0.02891705230817126,0.00041211647968316875
20,550,25,2850.0327272727272,0.029236027911641205,0.0003189756034699433
21,526,24,2980.072243346008,0.02955755531993891,0.0003215274082977067
22,494,32,3173.113360323887,0.03000667296962459,0.00044911764968567913
23,470,24,3335.1446808510636,0.03035882203585541,0.00035214906623081896
24,446,24,3514.614349775785,0.030726281931052785,0.0003674598951973751
25,424,22,3696.9764150943397,0.031077155094869725,0.0003508731638169407
26,411,13,3813.912408759124,0.03129278260281541,0.00021562750794568153
27,394,17,3978.472081218274,0.03158560220680082,0.00029281960398541
28,378,16,4146.873015873016,0.03187140434750989,0.00028580214070907106
29,363,15,4318.231404958678,0.03214891312252874,0.0002775087750188504
