threshold,p,p',n/p ratio,upper limit for train/val accuracy,accuracy'
0,1124931,0,6.899855191118388,0.0,0.0
1,259767,865164,29.880088694868864,0.11146360389602442,0.11146360389602442
2,145266,114501,53.43205567717153,0.14096709539116972,0.029503491495145306
3,101228,44038,76.67701624056585,0.1579880134416218,0.017020918050452083
4,77236,23992,100.495377803097,0.17035205861068628,0.012364045169064475
5,61748,15488,125.70222517328496,0.18032904737665362,0.009976988765967337
6,50455,11293,153.8373005648598,0.1890586548767106,0.008729607500056996
7,41906,8549,185.22075597766428,0.19676853270111383,0.007709877824403216
8,35364,6542,219.48481506616898,0.2035112455634029,0.0067427128622890575
9,30289,5075,256.2600614084321,0.20939578794312344,0.005884542379720553
10,26346,3943,294.61250284673196,0.21447575523447276,0.005079967291349324
11,23123,3223,335.6770747740345,0.2190433454038922,0.004567590169419433
12,20592,2531,376.93575174825173,0.2229563245206272,0.003912979116734994
13,18327,2265,423.52054346046816,0.22674987351615805,0.00379354899553086
14,16597,1730,467.66650599505937,0.22987025920716694,0.0031203856910088923
15,15051,1546,515.7040063783137,0.23285794476350452,0.002987685556337577
16,13764,1287,563.9248038360942,0.23551091677627312,0.002652972012768595
17,12738,1026,609.3469147432878,0.23775805828009547,0.002247141503822353
18,11811,927,657.1722123444247,0.2399078004617707,0.0021497421816752404
19,10975,836,707.2310706150341,0.24195421690751742,0.0020464164457467127
20,10269,706,755.8536371603856,0.24377336826825421,0.0018191513607367926
21,9649,620,804.4212871800187,0.24545080103856537,0.0016774327703111547
22,9065,584,856.2450082735797,0.2471060741747372,0.0016552731361718365
23,8528,537,910.1619371482176,0.24869731627505312,0.001591242100315915
24,8069,459,961.9359276242409,0.2501165635406251,0.0014192472655719934
25,7661,408,1013.1655136405169,0.2514306813791177,0.0013141178384926122
26,7305,356,1062.5408624229979,0.2526231789000086,0.0011924975208909006
27,6966,339,1114.249354005168,0.25380240640743246,0.00117922750742383
28,6647,319,1167.7239356100497,0.2549531613616889,0.0011507549542564277
29,6345,302,1223.3035460992908,0.2560814990116417,0.001128337649952793
