threshold,p,p',n/p ratio,upper limit for train/val accuracy,accuracy'
0,63512,0,122.210936515934,0.0,0.0
1,17507,46005,443.3575712572114,0.005927186791930441,0.005927186791930441
2,10521,6986,737.7493584260052,0.00772727056050089,0.0018000837685704495
3,7823,2698,992.1847117474115,0.008770061715869429,0.0010427911553685387
4,6343,1480,1223.6892637553208,0.009532765402523957,0.0007627036866545284
5,5360,983,1448.108395522388,0.010165989831562302,0.0006332244290383447
6,4661,699,1665.2780519201888,0.010706324166330728,0.0005403343347684265
7,4174,487,1859.5737901293724,0.011145522961568108,0.00043919879523737944
8,3800,374,2042.595,0.011530997527525937,0.00038547456595782945
9,3490,310,2224.02893982808,0.011890447406878325,0.0003594498793523873
10,3237,253,2397.856348470806,0.012216400164857371,0.00032595275797904673
11,3043,194,2550.7265856063095,0.012491334230283176,0.00027493406542580465
12,2863,180,2711.093608103388,0.012769618007846314,0.00027828377756313784
13,2690,173,2885.4501858736057,0.013059368107725712,0.00028975009987939823
14,2544,146,3051.0459905660377,0.013322707015753051,0.0002633389080273392
15,2432,112,3191.5546875,0.013539149953857715,0.0002164429381046641
16,2333,99,3326.987141020146,0.013743224724070684,0.00020407477021296833
17,2236,97,3471.3152951699462,0.013955673774626988,0.0002124490505563039
18,2139,97,3628.733520336606,0.01418061982815719,0.000224946053530203
19,2069,70,3751.5036249395844,0.014351970487490049,0.00017135065933285808
20,2006,63,3869.3225324027917,0.014514302691068546,0.00016233220357849722
21,1947,59,3986.5747303543912,0.014673929357920735,0.0001596266668521893
22,1885,62,4117.698143236074,0.01484966041004857,0.00017573105212783519
23,1826,59,4250.745345016429,0.015024489616600967,0.00017482920655239632
24,1765,61,4397.654957507082,0.015213104176949316,0.00018861456034834946
25,1723,42,4504.852582704585,0.01534838101326473,0.00013527683631541464
26,1654,69,4692.781741233373,0.015579511150740782,0.0002311301374760509
27,1609,45,4824.02796768179,0.015736045775620048,0.00015653462487926623
28,1563,46,4966.001919385796,0.01590198536150029,0.00016593958588024052
29,1512,51,5133.505952380952,0.016092532448081717,0.00019054708658142877
