t,t+1,delta,tokenized_data
105950216192,105943924736,-6291456,-6291456
105943924736,105946021888,2097152,2097152
105946021888,105939873792,-6148096,-1
105939873792,105941845296,1971504,-1
105941845296,105935536128,-6309168,-1
105935536128,105937633280,2097152,2097152
105937633280,105931341824,-6291456,-6291456
105931341824,105933438976,2097152,2097152
105933438976,105927147520,-6291456,-6291456
105927147520,105929244672,2097152,2097152
105929244672,105922953216,-6291456,-6291456
105922953216,105925050368,2097152,2097152
105925050368,105918758912,-6291456,-6291456
105918758912,105920856064,2097152,2097152
105920856064,105914564608,-6291456,-6291456
105914564608,105916661760,2097152,2097152
105916661760,105910370304,-6291456,-6291456
105910370304,105912467456,2097152,2097152
105912467456,105906176000,-6291456,-6291456
105906176000,105908273152,2097152,2097152
105908273152,105901981696,-6291456,-6291456
105901981696,105904078848,2097152,2097152
105904078848,105897787392,-6291456,-6291456
105897787392,105899884544,2097152,2097152
105899884544,105893593088,-6291456,-6291456
105893593088,105895690240,2097152,2097152
105895690240,105889398784,-6291456,-6291456
105889398784,105891495936,2097152,2097152
105891495936,105885204480,-6291456,-6291456
105885204480,105887301632,2097152,2097152
105887301632,105881010176,-6291456,-6291456
105881010176,105883107328,2097152,2097152
105883107328,105876815872,-6291456,-6291456
105876815872,105878913024,2097152,2097152
105878913024,105872621568,-6291456,-6291456
105872621568,105874718720,2097152,2097152
105874718720,105868427264,-6291456,-6291456
105868427264,105870524416,2097152,2097152
105870524416,105864232960,-6291456,-6291456
105864232960,105866330112,2097152,2097152
105866330112,105860038656,-6291456,-6291456
105860038656,105862135808,2097152,2097152
105862135808,105855844352,-6291456,-6291456
105855844352,105857941504,2097152,2097152
105857941504,105851650048,-6291456,-6291456
105851650048,105853747200,2097152,2097152
105853747200,105847455744,-6291456,-6291456
105847455744,105849552896,2097152,2097152
105849552896,105843261440,-6291456,-6291456
105843261440,105845358592,2097152,2097152
105845358592,105839067136,-6291456,-6291456
105839067136,105841164288,2097152,2097152
105841164288,105834872832,-6291456,-6291456
105834872832,105836969984,2097152,2097152
105836969984,105830678528,-6291456,-6291456
105830678528,105832775680,2097152,2097152
105832775680,105826484224,-6291456,-6291456
105826484224,105828581376,2097152,2097152
105828581376,105822289920,-6291456,-6291456
105822289920,105824387072,2097152,2097152
105824387072,105818095616,-6291456,-6291456
105818095616,105820192768,2097152,2097152
105820192768,105813901312,-6291456,-6291456
105813901312,105815998464,2097152,2097152
105815998464,105809707008,-6291456,-6291456
105809707008,105811804160,2097152,2097152
105811804160,105805512704,-6291456,-6291456
105805512704,105807609856,2097152,2097152
105807609856,105801318400,-6291456,-6291456
105801318400,105803415552,2097152,2097152
105803415552,105797124096,-6291456,-6291456
105797124096,105799221248,2097152,2097152
105799221248,105792929792,-6291456,-6291456
105792929792,105795026944,2097152,2097152
105795026944,105788735488,-6291456,-6291456
105788735488,105790832640,2097152,2097152
105790832640,105784541184,-6291456,-6291456
105784541184,105786638336,2097152,2097152
105786638336,105780346880,-6291456,-6291456
105780346880,105782444032,2097152,2097152
105782444032,105776152576,-6291456,-6291456
105776152576,105778249728,2097152,2097152
105778249728,105771958272,-6291456,-6291456
105771958272,105774055424,2097152,2097152
105774055424,105767763968,-6291456,-6291456
105767763968,105769861120,2097152,2097152
105769861120,105763569664,-6291456,-6291456
105763569664,105765666816,2097152,2097152
105765666816,105759375360,-6291456,-6291456
105759375360,105761472512,2097152,2097152
105761472512,105755181056,-6291456,-6291456
105755181056,105757278208,2097152,2097152
105757278208,105750986752,-6291456,-6291456
105750986752,105753083904,2097152,2097152
105753083904,105746792448,-6291456,-6291456
105746792448,105748889600,2097152,2097152
105748889600,105742598144,-6291456,-6291456
105742598144,105744695296,2097152,2097152
105744695296,105738403840,-6291456,-6291456
105738403840,105740500992,2097152,2097152
105740500992,105734209536,-6291456,-6291456
105734209536,105736306688,2097152,2097152
105736306688,105730015232,-6291456,-6291456
105730015232,105732112384,2097152,2097152
105732112384,105725820928,-6291456,-6291456
105725820928,105727918080,2097152,2097152
105727918080,105721626624,-6291456,-6291456
105721626624,105723723776,2097152,2097152
105723723776,105717432320,-6291456,-6291456
105717432320,105719529472,2097152,2097152
105719529472,105713238016,-6291456,-6291456
105713238016,105715335168,2097152,2097152
105715335168,105709043712,-6291456,-6291456
