value, frequency
0,7740
2,1556
1,1036
5,274
7,266
6,149
9,117
10,88
8,87
13,75
47,71
11,71
61,61
21,53
15,48
19,46
12,41
74,41
29,40
157,39
118,37
23,36
25,36
101,35
18,33
22,33
20,33
17,32
34,29
28,28
14,28
35,26
46,25
36,24
37,24
6007,24
27,22
11865,21
33,20
26,19
38,19
16,19
39,19
289,18
32,18
52,18
43,18
2065,17
142,17
24,17
254,17
120,17
44,17
54,17
880,16
270,16
50,15
877,15
408,15
51,15
49,15
892,15
1111,14
781,14
41,14
712,14
853,14
6977,14
176,14
45,14
76,14
71,14
59,13
9382,13
48,13
53,13
77,13
8250,13
193,12
70,12
56,12
93,12
78,12
63,12
12366,12
55,12
80,11
69,11
83,11
12531,11
62,11
87,11
42,11
66,11
73,11
68,10
81,10
90,10
1286,10
117,10
85,10
95,10
82,10
67,10
100,10
105,9
8215,9
187,9
238,9
4954,9
103,9
11854,9
65,9
2655,9
10495,9
106,8
223,8
102,8
108,8
178,8
132,8
2874,8
256,8
96,8
107,8
115,8
140,8
12037,8
99,8
158,8
127,8
153,8
72,8
122,8
229,8
129,8
126,8
97,8
125,8
15072,7
155,7
123,7
281,7
94,7
534,7
181,7
8148,7
131,7
147,7
2088,7
130,7
86,7
166,7
135,7
230,7
197,7
98,7
182,7
124,7
139,7
113,7
159,7
180,7
88,7
110,7
57,7
109,7
8693,7
145,7
12118,7
164,7
121,7
114,7
84,7
206,6
195,6
241,6
112,6
174,6
215,6
138,6
141,6
175,6
205,6
198,6
189,6
231,6
196,6
150,6
116,6
104,6
143,6
250,6
134,6
160,6
16264,6
146,6
170,6
207,6
154,6
165,6
194,6
599,6
137,6
220,6
162,6
169,6
286,6
133,6
14151,6
201,6
779,6
592,6
246,6
79,6
136,6
204,6
213,6
794,6
1091,6
191,6
190,6
183,6
232,6
921,6
644,6
92,5
3526,5
202,5
199,5
860,5
581,5
156,5
172,5
216,5
828,5
12019,5
58,5
255,5
119,5
177,5
222,5
242,5
210,5
273,5
312,5
218,5
361,5
152,5
280,5
151,5
188,5
227,5
872,5
192,5
15808,5
217,5
395,5
264,5
185,5
260,5
14829,5
394,5
311,5
240,5
111,5
208,5
243,5
11224,5
224,5
302,5
309,5
271,5
340,5
179,5
3019,5
235,5
245,5
9602,5
894,4
884,4
916,4
553,4
866,4
356,4
885,4
391,4
292,4
862,4
561,4
2851,4
770,4
413,4
593,4
349,4
798,4
497,4
898,4
433,4
463,4
360,4
461,4
429,4
670,4
423,4
278,4
4670,4
184,4
328,4
495,4
477,4
2265,4
296,4
734,4
457,4
821,4
465,4
930,4
489,4
445,4
738,4
527,4
407,4
585,4
717,4
200,4
237,4
676,4
226,4
406,4
751,4
873,4
532,4
740,4
376,4
269,4
507,4
804,4
868,4
438,4
168,4
823,4
380,4
847,4
567,4
436,4
932,4
440,4
539,4
404,4
3429,4
472,4
879,4
290,4
301,4
596,4
386,4
820,4
285,4
573,4
706,4
649,4
342,4
420,4
439,4
610,4
724,4
452,4
623,4
221,4
655,4
713,4
785,4
359,4
909,4
745,4
333,4
450,4
777,4
374,4
1589,4
418,4
379,4
935,4
329,4
589,4
709,4
1224,4
621,4
251,4
739,4
396,4
876,4
848,4
908,4
698,4
332,4
867,4
91,4
261,4
186,4
805,4
300,4
743,4
752,4
931,4
12875,4
283,4
732,4
236,4
912,4
643,4
428,4
944,4
442,4
410,4
549,4
517,4
506,4
219,4
613,4
163,4
12361,4
419,4
378,4
684,4
451,4
538,4
483,4
645,4
13646,4
570,4
615,4
579,4
780,4
421,4
583,4
762,4
688,4
725,4
343,4
478,4
533,4
5446,4
367,4
584,4
272,4
565,4
510,4
636,4
1172,4
765,4
493,4
173,4
629,4
2344,4
297,4
574,4
144,4
455,4
911,4
431,4
845,4
456,4
424,4
616,4
1845,4
861,4
648,4
904,4
279,4
277,4
869,4
303,4
341,4
496,4
890,4
373,4
464,4
839,4
214,4
922,4
335,4
432,4
813,4
437,4
382,4
400,4
469,4
871,4
414,4
501,4
504,4
310,4
631,4
640,4
778,4
801,4
249,4
915,4
822,4
795,4
769,4
274,4
714,4
306,4
705,4
462,4
338,4
650,4
402,4
287,4
857,4
203,4
434,4
454,4
577,4
398,4
865,4
75,4
755,4
1066,4
768,4
1261,4
678,4
699,4
13022,4
760,4
723,4
10197,4
792,4
550,4
334,4
1325,4
824,4
726,4
9846,4
929,4
910,4
851,4
897,4
345,4
466,4
586,4
7121,4
729,4
587,4
326,4
863,4
362,4
607,4
622,4
697,4
639,4
786,4
718,4
459,4
555,4
818,4
703,4
799,4
298,4
523,4
262,4
491,4
895,4
225,4
422,4
353,4
351,4
827,4
481,4
750,4
267,4
415,4
390,4
385,4
447,4
651,4
619,4
594,4
479,4
321,4
458,4
358,4
505,4
923,4
626,4
257,4
672,4
810,4
212,4
448,4
288,4
14124,4
308,4
630,4
531,4
544,4
435,4
211,4
467,4
664,4
512,4
480,4
603,4
563,4
307,4
403,4
595,4
416,4
806,4
934,4
275,4
499,4
352,4
566,4
600,4
409,3
835,3
624,3
473,3
1272,3
784,3
772,3
494,3
3691,3
2821,3
1319,3
1466,3
293,3
558,3
325,3
803,3
815,3
535,3
719,3
377,3
656,3
247,3
503,3
2737,3
1245,3
149,3
775,3
708,3
554,3
557,3
720,3
2830,3
2769,3
2314,3
919,3
1932,3
2475,3
522,3
12403,3
15268,3
5549,3
441,3
331,3
1139,3
490,3
900,3
999,3
771,3
1546,3
653,3
1607,3
2500,3
453,3
547,3
330,3
515,3
716,3
2081,3
339,3
9536,3
695,3
2015,3
1784,3
294,3
601,3
2347,3
2498,3
485,3
8188,3
1844,3
1658,3
663,3
1757,3
767,3
387,3
355,3
5367,3
976,3
2818,3
831,3
4998,3
426,3
6275,3
2292,3
2442,3
11696,3
711,3
2668,3
1205,3
2060,3
666,3
7340,3
707,3
590,3
1052,3
389,3
675,3
537,3
634,3
371,3
427,3
812,3
5478,3
759,3
4162,3
2639,3
611,3
1469,3
580,3
2546,3
1859,3
559,3
693,3
2740,3
8620,3
1778,3
669,3
646,3
661,3
324,3
488,3
838,3
7225,3
1375,3
797,3
9438,3
520,3
2569,3
1773,3
1827,3
597,3
2644,3
2812,3
317,3
399,3
552,3
1388,3
637,3
3827,3
1484,3
2772,3
627,3
1115,3
608,3
704,3
742,3
1892,3
2072,3
659,3
736,3
1749,3
375,3
541,3
710,3
800,3
757,3
2804,3
1805,3
2085,3
832,3
3673,3
381,3
4823,3
89,3
605,3
397,3
1464,3
3105,3
826,3
528,3
516,3
1647,3
744,3
2793,3
2513,3
384,3
548,3
1738,3
682,3
171,3
2518,3
7555,3
808,3
582,3
858,3
5520,3
313,3
2356,3
560,3
8353,3
2250,3
807,3
228,3
471,3
9207,3
612,3
2465,3
405,3
518,3
1727,3
819,3
829,3
591,3
366,3
388,3
1311,3
1976,3
304,3
5015,3
2572,3
652,3
336,3
4461,3
368,3
1274,3
893,3
9467,3
883,3
2516,3
1743,3
925,3
525,3
1901,3
2484,3
365,3
9676,3
502,3
2562,3
2174,3
606,3
2021,3
790,3
2653,3
638,3
604,3
11500,3
1926,3
305,3
9232,3
4995,3
337,3
393,3
4074,3
1995,3
564,3
425,3
14165,3
258,3
572,3
758,3
2613,3
856,3
1198,3
295,3
833,3
3743,3
474,3
2848,3
468,3
609,3
2087,3
747,3
668,3
2517,3
937,3
1961,3
782,3
487,3
370,3
244,3
446,3
2160,3
500,3
692,3
13096,3
737,3
1643,3
811,3
265,3
263,3
2256,3
412,3
209,3
6552,3
766,3
315,3
617,3
657,3
508,3
2696,3
674,3
4915,3
689,3
2805,3
756,3
3071,3
642,3
667,3
482,3
681,3
660,3
2745,3
721,3
578,3
1449,3
2490,3
443,3
476,3
1417,3
546,3
2800,3
753,3
2704,3
4800,3
344,3
2647,3
60,3
322,3
2067,3
731,3
475,3
2841,3
411,3
529,3
4982,3
5972,3
354,3
