threshold,p,p',n/p ratio,ratio',upper limit for train/val accuracy,accuracy'
0,849143,0,6.496405199124293,6.496405199124293,0.0,0.0
1,361254,487889,15.270078670409186,8.773673471284892,0.08844391889821888,0.08844391889821888
2,214976,146278,25.660431862161357,10.39035319175217,0.14147800268183267,0.05303408378361378
3,139286,75690,39.60467670835547,13.944244846194113,0.18264088911979728,0.04116288643796462
4,99303,39983,55.55096019254202,15.946283484186552,0.21163310629422175,0.02899221717442446
5,77804,21499,70.90094339622641,15.349983203684388,0.23111962797321503,0.019486521678993285
6,65202,12602,84.60441397503143,13.703470578805025,0.24482645040395173,0.013706822430736704
7,57228,7974,96.39297197176208,11.788557996730646,0.2549450481720158,0.010118597768064064
8,51686,5542,106.72864992454437,10.33567795278229,0.26298220734369676,0.008037159171680963
9,47468,4218,116.21254318698912,9.483893262444752,0.26986389798956817,0.006881690645871408
10,44043,3425,125.2498013305179,9.037258143528774,0.276072683212188,0.006208785222619806
11,41100,2943,134.2184184914842,8.96861716096629,0.2819412088767682,0.0058685256645802375
12,38548,2552,143.10410397426585,8.885685482781668,0.28749267861859334,0.005551469741825132
13,36302,2246,151.95793620186217,8.853832227596314,0.29278564536107665,0.005292966742483307
14,34265,2037,160.991594921932,9.033658720069837,0.2979553427911109,0.005169697430034259
15,32436,1829,170.0695831791836,9.077988257251604,0.3029287157132299,0.004973372922118968
16,30748,1688,179.40604266944192,9.336459490258306,0.3078246827582669,0.004895967045037031
17,29275,1473,188.4330315969257,9.026988927483785,0.3123640751892048,0.004539392430937872
18,27793,1482,198.48080451912352,10.047772922197822,0.31719985780522253,0.0048357826160177475
19,26444,1349,208.60599757979125,10.125193060667726,0.3218462044925501,0.004646346687327552
20,25215,1229,218.77362680943884,10.167629229647588,0.3263020275807835,0.004455823088233446
21,24079,1136,229.09493749740437,10.321310687965536,0.33062660510693886,0.004324577526155338
22,22995,1084,239.894629267232,10.799691769827632,0.3349497324058889,0.004323127298950014
23,21941,1054,251.4186682466615,11.524038979429491,0.3393442833946991,0.0043945509888101975
24,21029,912,262.3223643539873,10.903696107325828,0.3433121050283547,0.0039678216336556105
25,20145,884,273.83355671382475,11.511192359837423,0.3473183576829502,0.004006252654595532
26,19332,813,285.3495241051107,11.515967391285926,0.3511502205161105,0.003831862833160282
27,18533,799,297.65159445313765,12.302070348026973,0.355060939453558,0.003910718937447488
28,17818,715,309.5957458749579,11.944151421820266,0.35869013303477987,0.003629193581221879
29,17116,702,322.29358494975463,12.697839074796718,0.362380598715425,0.0036904656806451275
30,16462,654,335.09761875835255,12.804033808597922,0.3659372809363827,0.00355668222095773
31,15861,601,347.7950318391022,12.69741308074964,0.36931467881908725,0.003377397882704525
32,15262,599,361.445223430743,13.650191591640805,0.37278942320294645,0.0034747443838591963
33,14734,528,374.397787430433,12.952563999690028,0.3759480180560538,0.003158594853107377
34,14162,572,389.5196299957633,15.121842565330269,0.3794735203920979,0.003525502336044095
35,13660,502,403.8343338213763,14.31470382561298,0.38265858189170177,0.0031850614996038473
36,13183,477,418.4462565425169,14.611922721140616,0.3857714945878427,0.003112912696140946
37,12732,451,433.2686930568646,14.822436514347714,0.38879648725966337,0.003024992671820659
38,12295,437,448.6683204554697,15.399627398605105,0.3918067963810305,0.0030103091213671274
39,11833,462,466.1858362207386,17.51751576526891,0.3950730706041302,0.003266274223099719
40,11401,432,483.85027629155337,17.66444007081475,0.3982055613675425,0.0031324907634122656
41,11020,381,500.57867513611615,16.728398844562776,0.4010373112642591,0.00283174989671664
42,10609,411,519.9714393439532,19.392764207837047,0.40416653901645955,0.0031292277522004253
43,10241,368,538.6560882726296,18.684648928676438,0.4070350884285102,0.0028685494120506694
44,9886,355,557.9988873153956,19.342799042765932,0.40986665704682623,0.002831568618316016
45,9539,347,578.2972009644617,20.29831364906613,0.41269731927313885,0.002830662226312619
46,9241,298,596.9458933015908,18.64869233712909,0.4151822835893921,0.0024849643162532242
47,8936,305,617.3206132497762,20.37471994818543,0.4177809094628594,0.0025986258734673195
48,8657,279,637.2157791382696,19.895165888493352,0.42020858980450393,0.0024276803416445336
49,8398,259,656.8679447487497,19.652165610480097,0.4225091939872855,0.0023006041827815515
