threshold,p,p',n/p ratio,ratio',upper limit for train/val accuracy,accuracy'
0,67054,0,82.26767978047543,82.26767978047543,0.0,0.0
1,16021,51033,344.3216403470445,262.05396056656906,0.009251361899304561,0.009251361899304561
2,9780,6241,564.0467280163599,219.72508766931543,0.011514078896348092,0.0022627169970435308
3,7422,2358,743.2466990029642,179.19997098660428,0.012796442302619998,0.0012823634062719066
4,6033,1389,914.3671473562075,171.12044835324332,0.013803625096689367,0.0010071827940693681
5,5152,881,1070.725349378882,156.3582020226744,0.014602156451598576,0.0007985313549092096
6,4500,652,1225.8615555555555,155.13620617667357,0.015311317554982192,0.0007091611033836157
7,3956,544,1394.4330131445904,168.57145758903494,0.016001625704697122,0.0006903081497149303
8,3515,441,1569.3817923186343,174.94877917404392,0.01664117590222713,0.0006395501975300089
9,3190,325,1729.271786833856,159.8899945152216,0.0171714152241589,0.0005302393219317678
10,2923,267,1887.2312692439275,157.9594824100716,0.017655428553922256,0.0004840133297633574
11,2690,233,2050.697769516729,163.46650027280134,0.01812004509481495,0.0004646165408926928
12,2489,201,2216.302531137003,165.60476162027408,0.018557288597207913,0.0004372435023929644
13,2314,175,2383.9140017286086,167.61147059160567,0.0189696969587104,0.0004124083615024872
14,2178,136,2532.7718089990817,148.85780727047313,0.019314851033567865,0.00034515407485746427
15,2070,108,2664.916425120773,132.14461612169134,0.019608522042637768,0.00029367100906990337
16,1971,99,2798.7706747843736,133.8542496636005,0.019895667029283894,0.0002871449866461255
17,1894,77,2912.553854276663,113.78317949228949,0.020132960455748403,0.00023729342646450907
18,1828,66,3017.7117067833697,105.1578525067066,0.020348319195732996,0.00021535873998459326
19,1754,74,3145.0267958950967,127.31508911172705,0.020603196627061567,0.00025487743132857066
20,1685,69,3273.814243323442,128.78744742834533,0.020853360819972966,0.0002501641929113993
21,1636,49,3371.8685819070906,98.05433858364859,0.021039896294252552,0.00018653547427958592
22,1586,50,3478.1696090794453,106.30102717235468,0.021239302534979028,0.00019940624072647614
23,1533,53,3598.41943900848,120.2498299290346,0.021460280905384096,0.00022097837040506788
24,1492,41,3697.303619302949,98.88418029446893,0.021638658851633963,0.00017837794624986705
25,1465,27,3765.4450511945392,68.1414318915904,0.021761021772079756,0.00012236292044579336
26,1440,25,3830.817361111111,65.3723099165718,0.021878852732509037,0.00011783096042928057
27,1409,31,3915.1007806955286,84.28341958441752,0.02203058275386182,0.00015173002135278335
28,1373,36,4017.7545520757467,102.65377138021813,0.022213311381727534,0.00018272862786571434
29,1347,26,4095.3058648849296,77.55131280918295,0.022349995295825504,0.00013668391409796948
30,1326,21,4160.163650075415,64.85778519048517,0.022464200688241575,0.00011420539241607103
31,1297,29,4253.181958365459,93.01830829004393,0.022627169970435304,0.0001629692821937291
32,1277,20,4319.794048551292,66.61209018583304,0.02274318814685798,0.00011601817642267753
33,1252,25,4406.051916932907,86.25786838161548,0.02289274282740284,0.0001495546805448597
34,1232,20,4477.578733766234,71.52681683332685,0.023016012139851934,0.00012326931244909314
35,1213,19,4547.71393239901,70.13519863277634,0.023136562276291125,0.00012055013643919033
36,1193,20,4623.953897736798,76.23996533778791,0.023267082724766637,0.00013052044847551222
37,1180,13,4674.895762711864,50.94186497506598,0.023354277635484304,8.719491071766672e-05
38,1161,19,4751.401378122308,76.50561541044408,0.023485160640761137,0.00013088300527683283
39,1142,19,4830.452714535902,79.05133641359316,0.023619487935650517,0.00013432729488938033
40,1127,15,4894.744454303461,64.29173976755919,0.02372825497604678,0.00010876704039626192
41,1113,14,4956.313566936208,61.56911263274742,0.023832308778025866,0.00010405380197908709
42,1104,9,4996.718297101449,40.404730165240835,0.023900832013475513,6.852323544964678e-05
43,1091,13,5056.257561869844,59.53926476839479,0.024002166639444694,0.0001013346259691808
44,1083,8,5093.60757156048,37.3500096906364,0.024065976636477165,6.380999703247195e-05
45,1072,11,5145.874067164179,52.266495603698786,0.02415570944480408,8.973280832691444e-05
46,1061,11,5199.2243166823755,53.350249518196506,0.02424743631553826,9.172687073417951e-05
47,1051,10,5248.6936251189345,49.469308436559004,0.024332637163848665,8.520084831040511e-05
48,1045,6,5278.82966507177,30.136039952835745,0.02438484534323887,5.2208179390205584e-05
49,1034,11,5334.987427466151,56.15776239438037,0.02448255440119484,9.770905795597126e-05
