threshold,p,p',n/p ratio,ratio',upper limit for train/val accuracy,accuracy'
0,674207,0,5.240880026460716,5.240880026460716,0.0,0.0
1,288283,385924,12.256837898870208,7.0159578724094915,0.10922082119454198,0.10922082119454198
2,159264,129019,22.18604329917621,9.929205400306001,0.182248280569802,0.07302745937526002
3,100473,58791,35.16803519353458,12.98199189435837,0.23216368873601292,0.04991540816621093
4,73429,27044,48.120470113987665,12.952434920453086,0.2627786308971602,0.03061494216114727
5,59735,13694,59.151887503138866,11.031417389151201,0.28215635876446676,0.01937772786730657
6,51757,7978,68.26976061209112,9.117873108952253,0.2957035046320326,0.013547145867565835
7,46554,5203,75.89977230742794,7.630011695336819,0.3060110294845983,0.010307524852565697
8,42579,3975,82.98546231710468,7.085690009676739,0.315010762888722,0.008999733404123689
9,39380,3199,89.72671406805485,6.74125175095017,0.3231589177452668,0.008148154856544798
10,36530,2850,96.72701888858472,7.000304820529877,0.33122471655084934,0.008065798805582558
11,34127,2403,103.53790254051044,6.810883651925721,0.33870553268516385,0.007480816134314505
12,31928,2199,110.66894262089701,7.131040080386569,0.3461736133476801,0.007468080662516252
13,29956,1972,117.9542662571772,7.285323636280182,0.35342887012592267,0.007255256778242569
14,28227,1729,125.17936727246962,7.225101015292424,0.3602794219114641,0.006850551785541448
15,26588,1639,132.89596810591243,7.716600833442811,0.3672372346705956,0.0069578127591314876
16,25033,1555,141.1512004154516,8.255232309539167,0.37427853552262697,0.0070413008520313625
17,23596,1437,149.7473300559417,8.59612964049009,0.381192198646191,0.006913663123564062
18,22332,1264,158.223087945549,8.475757889607308,0.3876312531874056,0.006439054541214573
19,21166,1166,166.93933667202117,8.716248726472173,0.3939010674589451,0.006269814271539498
20,20033,1133,176.38087156192282,9.441534889901646,0.40031408503559424,0.006413017576649138
21,19031,1002,185.6674898849246,9.28661832300179,0.4062691916484738,0.005955106612879568
22,18077,954,195.46595120871825,9.798461323793646,0.41220901569519547,0.0059398240467216645
23,17198,879,205.45633213164322,9.99038092292497,0.41793063865843977,0.005721622963244299
24,16374,824,215.7956516428484,10.33931951120519,0.4235274539980608,0.005596815339621031
25,15578,796,226.82231351906535,11.026661876216934,0.4291593626377483,0.0056319086396874884
26,14835,743,238.18254128749578,11.360227768430434,0.43462655917551124,0.005467196537762953
27,14135,700,249.97792713123454,11.795385843738757,0.4399754573307923,0.005348898155281057
28,13510,625,261.5424130273871,11.564485896152576,0.4449281408079044,0.004952683477112085
29,12933,577,273.2110105930565,11.668597565669415,0.44966375524347674,0.004735614435572355
30,12361,572,285.85373351670574,12.642722923649217,0.45452021515589064,0.004856459912413902
31,11771,590,300.18163282643786,14.327899309732118,0.4596964769156838,0.005176261759793188
32,11225,546,314.78289532293985,14.601262496501988,0.4646412360992325,0.004944759183548697
33,10719,506,329.6425039649221,14.859608641982277,0.4693669451678507,0.004725709068618189
34,10243,476,344.9612418236845,15.318737858762347,0.47394718684748394,0.0045802416796332235
35,9770,473,361.6620266120778,16.70078478839332,0.478632425416832,0.004685238569348049
36,9328,442,378.79909948542024,17.137072873342447,0.4831356882447067,0.004503262827874721
37,8927,401,395.81471939061277,17.015619905192523,0.48733471480184454,0.0041990265571378305
38,8496,431,415.8943032015066,20.079583810893837,0.49196986051545266,0.004635145713608124
39,8141,355,434.0299717479425,18.13566854643591,0.49588814067205933,0.003918280156606668
40,7781,360,454.1110397121193,20.081067964176782,0.4999634916475116,0.004075350975452252
41,7486,295,472.00614480363345,17.895105091514154,0.503386503456407,0.0034230118088954264
42,7159,327,493.5658611537924,21.559716350158965,0.5072733694492446,0.003886865992837607
43,6848,311,515.9810163551402,22.41515520134783,0.5110580686572115,0.0037846992079668684
44,6541,307,540.198440605412,24.217424250271733,0.5148809742805732,0.0038229056233617387
45,6283,258,562.3807098519816,22.182269246569604,0.5181667260045316,0.0032857517239583967
46,5986,297,590.2836618777146,27.902952025733043,0.5220332152424919,0.003866489237960291
47,5711,275,618.7074067588863,28.42374488117173,0.5256911257534447,0.0036579105109527665
48,5469,242,646.0848418358017,27.37743507691539,0.5289785755403095,0.0032874497868647934
49,5206,263,678.7241644256627,32.63932258986097,0.5326257316528548,0.003647156112545291
