threshold,p,p',n/p ratio,upper limit for train/val accuracy,accuracy'
0,674207,0,5.240880026460716,0.0,0.0
1,288283,385924,12.256837898870208,0.10922082119454198,0.10922082119454198
2,159264,129019,22.18604329917621,0.182248280569802,0.07302745937526002
3,100473,58791,35.16803519353458,0.23216368873601292,0.04991540816621093
4,73429,27044,48.120470113987665,0.2627786308971602,0.03061494216114727
5,59735,13694,59.151887503138866,0.28215635876446676,0.01937772786730657
6,51757,7978,68.26976061209112,0.2957035046320326,0.013547145867565835
7,46554,5203,75.89977230742794,0.3060110294845983,0.010307524852565697
8,42579,3975,82.98546231710468,0.315010762888722,0.008999733404123689
9,39380,3199,89.72671406805485,0.3231589177452668,0.008148154856544798
10,36530,2850,96.72701888858472,0.33122471655084934,0.008065798805582558
11,34127,2403,103.53790254051044,0.33870553268516385,0.007480816134314505
12,31928,2199,110.66894262089701,0.3461736133476801,0.007468080662516252
13,29956,1972,117.9542662571772,0.35342887012592267,0.007255256778242569
14,28227,1729,125.17936727246962,0.3602794219114641,0.006850551785541448
15,26588,1639,132.89596810591243,0.3672372346705956,0.0069578127591314876
16,25033,1555,141.1512004154516,0.37427853552262697,0.0070413008520313625
17,23596,1437,149.7473300559417,0.381192198646191,0.006913663123564062
18,22332,1264,158.223087945549,0.3876312531874056,0.006439054541214573
19,21166,1166,166.93933667202117,0.3939010674589451,0.006269814271539498
20,20033,1133,176.38087156192282,0.40031408503559424,0.006413017576649138
21,19031,1002,185.6674898849246,0.4062691916484738,0.005955106612879568
22,18077,954,195.46595120871825,0.41220901569519547,0.0059398240467216645
23,17198,879,205.45633213164322,0.41793063865843977,0.005721622963244299
24,16374,824,215.7956516428484,0.4235274539980608,0.005596815339621031
25,15578,796,226.82231351906535,0.4291593626377483,0.0056319086396874884
26,14835,743,238.18254128749578,0.43462655917551124,0.005467196537762953
27,14135,700,249.97792713123454,0.4399754573307923,0.005348898155281057
28,13510,625,261.5424130273871,0.4449281408079044,0.004952683477112085
29,12933,577,273.2110105930565,0.44966375524347674,0.004735614435572355
