threshold,p,p',n/p ratio,upper limit for train/val accuracy,accuracy'
0,49547,0,71.31487274708863,0.0,0.0
1,11850,37697,298.1804219409283,0.010668929241152668,0.010668929241152668
2,7240,4610,488.0439226519337,0.013278285907379724,0.0026093566662270563
3,5350,1890,660.4557009345795,0.014882955353964044,0.0016046694465843194
4,4230,1120,835.3281323877069,0.016150842324104738,0.0012678869701406945
5,3527,703,1001.8253473206692,0.017145624176793252,0.0009947818526885137
6,2977,550,1186.9123278468257,0.01807955877533439,0.0009339345985411376
7,2538,439,1392.2135539795115,0.018949249993915274,0.0008696912185808849
8,2215,323,1595.2316027088036,0.019680549085621425,0.0007312990917061508
9,1959,256,1803.694742215416,0.020332605241693783,0.000652056156072358
10,1751,208,2017.9543118218162,0.020921267049259108,0.0005886618075653244
11,1590,161,2222.2880503144656,0.02142247861714285,0.0005012115678837414
12,1438,152,2457.1891515994434,0.021938689740700134,0.000516211123557285
13,1317,121,2682.944570994685,0.02238386523267141,0.00044517549197127526
14,1227,90,2879.7375713121432,0.02274045844302348,0.00035659321035207137
15,1152,75,3067.2204861111113,0.023058845237980685,0.0003183867949572046
16,1099,53,3215.139217470428,0.02329883812875732,0.00023999289077663438
17,1036,63,3410.65444015444,0.02360194235755658,0.0003031042287992593
18,989,47,3572.738119312437,0.023841369227364396,0.00023942686980781697
19,937,52,3771.0117395944503,0.024120983585957927,0.0002796143585935308
20,898,39,3934.7861915367484,0.02434173176379492,0.0002207481778369949
21,854,44,4137.515222482436,0.02460323345138644,0.00026150168759151923
22,822,32,4298.586374695864,0.02480247283240855,0.00019923938102211006
23,783,39,4512.69220945083,0.025056333236921094,0.0002538604045125431
24,764,19,4624.918848167539,0.025185386017810417,0.00012905278088932298
25,735,29,4807.398639455782,0.02539056861900506,0.00020518260119464435
26,705,30,5011.968794326242,0.025611316796842056,0.0002207481778369949
27,682,23,5180.994134897361,0.025787066307658434,0.00017574951081637813
28,662,20,5337.519637462236,0.02594555217892602,0.00015848587126758573
29,649,13,5444.434514637905,0.026052247131547236,0.00010669495262121548
