t,t+1,delta,tokenized_data
104291368960,104291373056,4096,4096
104291373056,104291377152,4096,4096
104291377152,104291381248,4096,4096
104291381248,104291385344,4096,4096
104291385344,104291389440,4096,4096
104291389440,104291393536,4096,4096
104291393536,104291397632,4096,4096
104291397632,104291401728,4096,4096
104291401728,104291405824,4096,4096
104291405824,104291409920,4096,4096
104291409920,104291414016,4096,4096
104291414016,104291418112,4096,4096
104291418112,104291422208,4096,4096
104291422208,104291426304,4096,4096
104291426304,104291430400,4096,4096
104291430400,104291434496,4096,4096
104291434496,104291438592,4096,4096
104291438592,104291442688,4096,4096
104291442688,104291446784,4096,4096
104291446784,104291450880,4096,4096
104291450880,104291454976,4096,4096
104291454976,104291459072,4096,4096
104291459072,104291463168,4096,4096
104291463168,104291467264,4096,4096
104291467264,104291471360,4096,4096
104291471360,104291475456,4096,4096
104291475456,104291479552,4096,4096
104291479552,104291483648,4096,4096
104291483648,104291487744,4096,4096
104291487744,104291491840,4096,4096
104291491840,104291495936,4096,4096
104291495936,104291500032,4096,4096
104291500032,104291504128,4096,4096
104291504128,104291508224,4096,4096
104291508224,104291512320,4096,4096
104291512320,104291516416,4096,4096
104291516416,104291520512,4096,4096
104291520512,104291524608,4096,4096
104291524608,104291528704,4096,4096
104291528704,104291532800,4096,4096
104291532800,104291536896,4096,4096
104291536896,104291540992,4096,4096
104291540992,104291545088,4096,4096
104291545088,104291549184,4096,4096
104291549184,104291553280,4096,4096
104291553280,104291557376,4096,4096
104291557376,104291561472,4096,4096
104291561472,104291565568,4096,4096
104291565568,104291569664,4096,4096
104291569664,104291573760,4096,4096
104291573760,104291577856,4096,4096
104291577856,104291581952,4096,4096
104291581952,104291586048,4096,4096
104291586048,104291590144,4096,4096
104291590144,104291594240,4096,4096
104291594240,104291598336,4096,4096
104291598336,104291602432,4096,4096
104291602432,104291606528,4096,4096
104291606528,104291610624,4096,4096
104291610624,104291614720,4096,4096
104291614720,104291618816,4096,4096
104291618816,104291622912,4096,4096
104291622912,104291627008,4096,4096
104291627008,104291631104,4096,4096
104291631104,104291635200,4096,4096
104291635200,104291639296,4096,4096
104291639296,104291643392,4096,4096
104291643392,104291647488,4096,4096
104291647488,104291651584,4096,4096
104291651584,104291655680,4096,4096
104291655680,104291659776,4096,4096
104291659776,104291663872,4096,4096
104291663872,104291667968,4096,4096
104291667968,104291672064,4096,4096
104291672064,104291676160,4096,4096
104291676160,104291680256,4096,4096
104291680256,104291684352,4096,4096
104291684352,104291688448,4096,4096
104291688448,104291692544,4096,4096
104291692544,104291696640,4096,4096
104291696640,104291700736,4096,4096
104291700736,104291704832,4096,4096
104291704832,104291708928,4096,4096
104291708928,104291713024,4096,4096
104291713024,104291717120,4096,4096
104291717120,104291721216,4096,4096
104291721216,104291725312,4096,4096
104291725312,104291729408,4096,4096
104291729408,104291733504,4096,4096
104291733504,104291737600,4096,4096
104291737600,104291741696,4096,4096
104291741696,104291745792,4096,4096
104291745792,104291749888,4096,4096
104291749888,104291753984,4096,4096
104291753984,104291758080,4096,4096
104291758080,104291762176,4096,4096
104291762176,104291766272,4096,4096
104291766272,104291770368,4096,4096
104291770368,104291774464,4096,4096
104291774464,104291778560,4096,4096
104291778560,104291782656,4096,4096
104291782656,104291786752,4096,4096
104291786752,104291790848,4096,4096
104291790848,104291794944,4096,4096
104291794944,104291799040,4096,4096
104291799040,104291803136,4096,4096
104291803136,104291807232,4096,4096
104291807232,104291811328,4096,4096
